Facility Name,CMS Certification Number (CCN),Alternate CCN,Address,City,State,Zip Code,Network,Measure Name,Neph Comm and Caring Achievement Measure Rate,Neph Comm and Caring Measure Score,State Average Neph Comm and Caring Measure Score,National Average Neph Comm and Caring Measure Score,Quality of Dialysis Care and Ops Achievement Measure Rate,Quality of Dialysis Care and Ops Measure Score,State Average Quality of Dialysis Care and Ops Measure Score,National Average Quality of Dialysis Care and Ops Measure Score,Providing Info to Patients Achievement Measure Rate,Providing Info to Patients Measure Score,State Average Providing Info to Patients Measure Score,National Average Providing Info to Patients Measure Score,Overall Rating of Neph Achievement Measure Rate,Overall Rating of Neph Measure Score,State Average Overall Rating of Neph Measure Score,National Average Overall Rating of Neph Measure Score,Overall Rating of Dialysis Staff Achievement Measure Rate,Overall Rating of Dialysis Staff Measure Score,State Average Overall Rating of Dialysis Staff Measure Score,National Average Overall Rating of Dialysis Staff Measure Score,Overall Rating of Dialysis Facility Achievement Measure Rate,Overall Rating of Dialysis Facility Measure Score,State Average Overall Rating of Dialysis Facility Measure Score,National Average Overall Rating of Dialysis Facility Measure Score,ICHCAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),State Average ICH CAHPS Measure Score,National Average ICH CAHPS Measure Score
FKC - LAKE HEFNER DIALYSIS,372500,-,7201 CHEROKEE PLAZA,WARR ACRES,OK,73132,13,ICH CAHPS,67.62%,5,4,4,57.27%,2,4,4,80.04%,5,6,5,69.59%,7,4,4,62.70%,5,4,4,68.63%,5,5,4,5,-,5,5
FKC - LAKE VILLAGE,042527,-,505 SAINT MARYS STREET,LAKE VILLAGE,AR,71653,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,4,5
FKC - Lenexa,172570,-,13201 W 98TH ST,LENEXA,KS,66215,12,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,6,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,7",5,5
FKC Liberty Berlin DC,312575,-,30 TANSBORO ROAD,BERLIN,NJ,08009,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
FKC LIBERTY DIALYSIS - SOUTHPOINTE,392717,-,1200 CORPORATE DRIVE,Canonsburg,PA,15317,4,ICH CAHPS,67.01%,4,4,4,70.74%,9,4,4,83.19%,7,5,5,69.77%,7,3,4,78.74%,10,4,4,75.31%,7,5,4,7,-,5,5
FKC LIBERTY DIALYSIS - WASHINGTON,392716,-,90 WEST CHESTNUT STREET - 100 EAST WING,Washington,PA,15301,4,ICH CAHPS,55.00%,0,4,4,58.32%,3,4,4,76.91%,3,5,5,54.86%,2,3,4,68.07%,7,4,4,77.19%,8,5,4,4,-,5,5
FKC Liberty Hammonton,312603,-,392 NORTH WHITE HORSE PIKE STE 1,HAMMONTON,NJ,08037,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
FKC Liberty Linwood Dialysis,312602,-,1201 NEW ROAD STE 170,LINWOOD,NJ,08221,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
FKC Liberty Runnemede,312592,-,170 NINTH AVENUE UNIT B,RUNNEMEDE,NJ,08078,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
FKC - MARKSVILLE,192752,-,634 TUNICA DR W,Marksville,LA,71351,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,5,9",4,5
FKC MARLTON,312682,-,957 ROUTE 73 SOUTH,MARLTON,NJ,08053,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,7",5,5
FKC - MOKENA DIALYSIS,142689,-,"8910 W. 192ND STREET, SUITE A & B",MOKENA,IL,60448,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FKC MONTGOMERY,012596,-,3625 MCGEHEE PLACE DRIVE NORTH,Montgomery,AL,36111,8,ICH CAHPS,60.64%,2,4,4,55.52%,1,4,4,76.76%,2,5,5,50.14%,1,4,4,48.84%,1,4,4,56.29%,1,4,4,1,-,4,5
FKC - MOORE,372609,-,450 N EASTERN AVE,OKLAHOMA CITY,OK,73160,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,6,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,"4,7",5,5
FKC NARANJITO,402546,-,ROAD 174 KM 6.9,NARANJITO,PR,00719,3,ICH CAHPS,71.71%,7,4,4,57.67%,2,4,4,85.54%,8,8,5,65.52%,6,4,4,52.52%,2,6,4,61.45%,3,5,4,5,-,5,5
FKC - NEW ORLEANS DOWNTOWN,192751,-,2235 POYDRAS ST,NEW ORLEANS,LA,70119,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,7,9",4,5
FKC - NEW ORLEANS UPTOWN,192746,-,2500 LOUISIANA AVENUE,NEW ORLEANS,LA,70115,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,7",4,5
FKC - NORTH CADDO PARISH,192749,-,110 AIRPORT DR,VIVIAN,LA,71082,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,7",4,5
FKC - NORTH THIBODAUX,192741,-,108 WESTOVER DRIVE,THIBODAUX,LA,70301,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,7",4,5
FKC OF MOUNT PLEASANT,392590,-,2000 SUMMIT RIDGE PLAZA,Mount Pleasant,PA,15666,4,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,5,4,No Score,4,5,5
FKC-Ohio Renal Care Group Southpointe,362876,-,"4200 WARRENSVILLE CENTER ROAD, SUITE 100",BEACHWOOD,OH,44122,9,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,6,5
FKC - O'NEAL LANE,192680,-,1280 O'NEAL LANE,BATON ROUGE,LA,70816,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,4,5
FKC SAN MIGUEL,552864,-,2731 SYSTRON DRIVE SUITE 100,CONCORD,CA,94518,17,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,"4,5,9",6,5
FKC SECAUCUS,312689,-,200 MEADOWSLANDS PARKWAY - SUITE 200A,SECAUCUS,NJ,07094,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,5,7,9",5,5
FKC Sewell,312693,-,300 MEDICAL CENTER DRIVE SUITE A,SEWELL,NJ,08080,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,5,9",5,5
FKC - TCHEFUNCTE RIVER,192674,-,397 HWY 21 STE 602,MADISONVILLE,LA,70447,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,4,5
FKC-Toledo Downtown Dialysis,362874,-,1313 CHERRY STREET,TOLEDO,OH,43608,9,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,6,5
FKC - Topeka East,172568,-,3408 SE 29TH STREET,TOPEKA,KS,66605,12,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,6,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,7",5,5
FKC VOORHEES,312692,-,201 LAUREL OAK RD SUITE A,VOORHEES,NJ,08043,3,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,"4,5,9",5,5
FKC - WASHINGTON PARISH,192744,-,2219 MAIN ST,FRANKLINTON,LA,70438,13,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,7",4,5
FKC - WEST METRO DIALYSIS,142536,-,1044 N MOZART 3RD FLOOR,CHICAGO,IL,60622,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FKC - WOODRIDGE,142845,-,7550 JANES AVENUE,WOODRIDGE,IL,60517,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,9",5,5
Flint Hills Dialysis LLC,172517,-,1133 COLLEGE AVE B266,Manhattan,KS,66502,12,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,6,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,4,5,5
Flint Hills Dialysis of Marysville,172556,-,708 N 18TH ST SOUTH PLAZA,MARYSVILLE,KS,66508,12,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,6,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,4,4,No Score,"4,7",5,5
Florence Dialysis Center,052872,-,351 W. FLORENCE AVENUE,Los Angeles,CA,90003,18,ICH CAHPS,60.80%,2,5,4,56.43%,2,6,4,79.78%,5,5,5,42.68%,0,5,4,63.98%,5,6,4,58.32%,3,6,4,3,-,6,5
FLORENCE DIALYSIS CENTER,422505,-,435 NORTH CASHUA DR,FLORENCE,SC,29501,6,ICH CAHPS,61.39%,2,4,4,50.44%,0,4,4,81.05%,5,5,5,55.62%,3,4,4,45.21%,0,4,4,48.47%,0,4,4,2,-,4,5
FLORIDA DIALYSIS CENTER OF CELEBRATION LLC,682578,-,5051 WEST IRLO BRONSON MEMORIAL HIGHWAY,Kissimmee,FL,34746,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FLORIDA DIALYSIS CENTER OF HAINES CITY LLC,682583,-,2340 NORTH BOULEVARD WEST,DAVENPORT,FL,33837,7,ICH CAHPS,80.45%,10,4,4,70.60%,9,4,4,86.84%,9,4,5,74.70%,9,4,4,78.03%,10,4,4,85.86%,10,4,4,10,-,5,5
FLORIDA DIALYSIS CENTER OF ORLANDO LLC,102896,-,1711 35TH STREET #109,ORLANDO,FL,32839,7,ICH CAHPS,62.72%,3,4,4,67.36%,7,4,4,86.20%,9,4,5,64.40%,5,4,4,65.36%,6,4,4,68.56%,5,4,4,6,-,5,5
FLORIDA HOSPITAL ESRD,102302,100007,601 E ROLLINS ST,ORLANDO,FL,32803,7,ICH CAHPS,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,4,5,No Rate,0,4,4,No Rate,0,4,4,No Rate,0,4,4,0,-,5,5
FLORIDA KIDNEY CENTER,102559,-,7309 WEST OAKLAND PARK BLVD,LAUDERHILL,FL,33319,7,ICH CAHPS,71.88%,7,4,4,59.44%,3,4,4,81.13%,5,4,5,61.18%,4,4,4,70.75%,7,4,4,72.98%,7,4,4,6,-,5,5
Flower Dialysis,362775,-,"5308 HARROUN RD., SUITE 60",SYLVANIA,OH,43560,9,ICH CAHPS,60.03%,1,5,4,61.52%,4,5,4,73.29%,0,5,5,48.23%,0,5,4,55.63%,3,5,4,67.53%,5,5,4,2,-,6,5
FMC ABERDEEN,502531,-,2012 INDUSTRIAL PKWY,ABERDEEN,WA,98520,16,ICH CAHPS,63.98%,3,7,4,60.13%,4,6,4,88.55%,10,6,5,62.30%,5,7,4,73.10%,8,6,4,76.18%,8,7,4,6,-,7,5
FMC - ABERDEEN,142809,-,215 SOUTH ABERDEEN STREET,CHICAGO,IL,60607,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
FMC - ABINGDON,492630,-,341 FALLS DR,ABINGDON,VA,24210,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FMC Aguadilla Dialysis Center,402513,-,CARR 459 KM 0.7 BO CAMASEYES,Aguadilla,PR,00603,3,ICH CAHPS,62.49%,2,4,4,67.67%,7,4,4,90.25%,10,8,5,55.69%,3,4,4,71.29%,8,6,4,70.65%,6,5,4,6,-,5,5
FMC AIBONITO,402557,-,ROAD 726 KM 07 - CAONILLAS WARD,AIBONITO,PR,00705,3,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,8,5,No Rate,No Score,4,4,No Rate,No Score,6,4,No Rate,No Score,5,4,No Score,"4,5,6,9",5,5
FMC -  AKRON,362503,-,345 BISHOP STREET,AKRON,OH,44307,9,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,6,5
FMC - AKRON CANTON KIDNEY CENTER,362521,-,1565 CORPORATE WOODS PKWY,UNIONTOWN,OH,44685,9,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,6,5
FMC - AKRON EAST,362598,-,199 PERKINS STREET,AKRON,OH,44304,9,ICH CAHPS,83.25%,10,5,4,81.88%,10,5,4,83.50%,7,5,5,76.43%,9,5,4,87.65%,10,5,4,80.15%,9,5,4,9,-,6,5
FMC - AKRON WEST,362745,-,3558 RIDGEWOOD RD,AKRON,OH,44333,9,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,6,5
FMC - ALAMO CITY DIALYSIS,452777,-,805 CAMDEN ST,SAN ANTONIO,TX,78215,14,ICH CAHPS,80.41%,10,5,4,62.73%,5,4,4,84.79%,8,4,5,70.47%,7,4,4,74.42%,9,4,4,76.43%,8,5,4,8,-,5,5
FMC - ALEDO,142658,-,409 NORTHWEST 9TH AVENUE,ALEDO,IL,61231,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FMC ALEXANDER CITY,012617,-,3368 HWY 280 BYPASS - SUITE G-1,ALEXANDER CITY,AL,35010,8,ICH CAHPS,77.84%,9,4,4,78.54%,10,4,4,83.58%,7,5,5,67.71%,7,4,4,80.35%,10,4,4,89.26%,10,4,4,9,-,4,5
FMC - Algona,162563,-,215 W CALL ST,ALGONA,IA,50511,12,ICH CAHPS,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,"4,7",5,5
FMC-Alhambra,052644,-,2300 W. VALLEY BLVD.,Alhambra,CA,91803,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,4,6,5
FMC - ALLEGAN,232559,-,730 AIRWAY DR,ALLEGAN,MI,49010,11,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
FMC - ALSIP DIALYSIS CENTER,142630,-,12250 S CICERO STE 105,ALSIP,IL,60803,10,ICH CAHPS,76.16%,8,4,4,58.31%,3,4,4,77.72%,4,4,5,71.67%,8,3,4,59.26%,4,4,4,63.82%,4,4,4,5,-,5,5
FMC - AMHERST DIALYSIS,362636,-,1168 CLEVELAND AVENUE,AMHERST,OH,44001,9,ICH CAHPS,93.16%,10,5,4,82.93%,10,5,4,92.99%,10,5,5,87.89%,10,5,4,87.72%,10,5,4,90.24%,10,5,4,10,-,6,5
FMC - ANACOSTIA,092508,-,3929 MINNESOTA AVE NE,WASHINGTON,DC,20019,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,2,4,No Rate,No Score,2,4,No Rate,No Score,2,4,No Score,4,3,5
FMC-Anaheim Dialysis,552786,-,"3150 W. LINCOLN AVENUE, SUITE 100",ANAHEIM,CA,92801,18,ICH CAHPS,75.04%,8,5,4,71.07%,9,6,4,80.70%,5,5,5,71.95%,8,5,4,74.45%,9,6,4,79.17%,8,6,4,8,-,6,5
FMC ANCHORAGE,022500,-,3950 LAUREL STREET,ANCHORAGE,AK,99508,16,ICH CAHPS,77.20%,9,8,4,67.75%,7,5,4,88.07%,10,8,5,70.50%,7,6,4,69.00%,7,4,4,77.50%,8,5,4,8,-,6,5
FMC ANDERSON DIALYSIS CLINIC,422506,-,416 E CALHOUN STREET STE A,ANDERSON,SC,29621,6,ICH CAHPS,69.15%,5,4,4,57.95%,2,4,4,80.89%,5,5,5,60.70%,4,4,4,51.45%,1,4,4,45.75%,0,4,4,3,-,4,5
FMC - ANNE ARUNDEL,212637,-,2032 INDUSTRIAL DR,ANNAPOLIS,MD,21401,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,3,5,No Rate,No Score,3,4,No Rate,No Score,3,4,No Rate,No Score,3,4,No Score,4,4,5
FMC-Antelope Valley,052890,-,"44950 VALLEY CENTRAL WAY, SUITE 108",Lancaster,CA,93536,18,ICH CAHPS,69.30%,5,5,4,61.92%,4,6,4,77.48%,3,5,5,70.91%,8,5,4,58.52%,3,6,4,68.59%,5,6,4,5,-,6,5
FMC - ANTIOCH,142673,-,"311 W. DEPOT STREET, SUITE H",ANTIOCH,IL,60002,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FMC - APPALACHIAN DIALYSIS,512539,-,115 SOLAR DR,BECKLEY,WV,25801,5,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FMC ARDENWOOD,052797,-,37478 CEDAR BLVD STE A,NEWARK,CA,94560,17,ICH CAHPS,76.13%,8,5,4,71.65%,9,6,4,81.87%,6,5,5,66.30%,6,5,4,80.14%,10,6,4,77.51%,8,6,4,8,-,6,5
FMC Arecibo Dialysis Center,402508,-,1072 AVENUE MIRAMAR - CARR 2  KM 78.5,Arecibo,PR,00612,3,ICH CAHPS,68.91%,5,4,4,58.42%,3,4,4,85.58%,8,8,5,57.65%,3,4,4,59.97%,4,6,4,58.15%,2,5,4,4,-,5,5
FMC Arecibo Norte Dialysis Center,402529,-,HOSPITAL PAVIA ARECIBO - CARR. 129 AVE. SAN LUIS  SUITE 1,ARECIBO,PR,00612,3,ICH CAHPS,66.14%,4,4,4,54.35%,1,4,4,81.92%,6,8,5,63.74%,5,4,4,63.28%,5,6,4,57.46%,2,5,4,4,-,5,5
FMC - Arnold,262680,-,2194 MICHIGAN AVE,ARNOLD,MO,63010,12,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,5,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FMC- ARROWHEAD DIALYSIS CENTER,362604,-,322 W DUSSEL DRIVE,MAUMEE,OH,43537,9,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,6,5
FMC-Arroyo Dialysis Center,552517,-,"1111 S. ARROYO PARKWAY, SUITE 150",Pasadena,CA,91105,18,ICH CAHPS,62.92%,3,5,4,64.59%,6,6,4,75.45%,2,5,5,56.60%,3,5,4,62.88%,5,6,4,69.09%,5,6,4,4,-,6,5
FMC - ASHLAND,182524,-,840 CENTRAL AVENUE,Ashland,KY,41101,9,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FMC -  ASHLAND COUNTY,362710,-,1100 REDWOOD DRIVE,ASHLAND,OH,44805,9,ICH CAHPS,73.59%,7,5,4,57.88%,2,5,4,88.28%,10,5,5,74.88%,9,5,4,66.19%,6,5,4,69.14%,5,5,4,7,-,6,5
FMC ATHENS,442595,-,943 DECATUR PIKE,ATHENS,TN,37303,8,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,6,5,No Rate,No Score,3,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
FMC ATLANTA-DOWNTOWN,112672,-,231 NW 14TH ST NW,ATLANTA,GA,30318,6,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,3,4,No Rate,No Score,4,4,No Score,4,4,5
FMC Atlantic City,312535,-,1501 ATLANTIC AVE - RENAISSANCE PLAZA #18,Atlantic City,NJ,08401,3,ICH CAHPS,74.89%,8,5,4,63.79%,5,5,4,79.17%,5,5,5,70.75%,8,4,4,69.61%,7,5,4,66.32%,4,5,4,6,-,5,5
FMC - ATLANTIS,102810,-,5503 SOUTH CONGRESS AVE - SUITE 101,ATLANTIS,FL,33462,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FMC AUBURN,012615,-,211 E UNIVERSITY DR,AUBURN,AL,36832,8,ICH CAHPS,76.17%,8,4,4,65.11%,6,4,4,84.27%,8,5,5,72.41%,8,4,4,65.71%,6,4,4,70.56%,6,4,4,7,-,4,5
FMC-AUBURNDALE,682605,-,365 HAVENDALE BLVD,AUBURNDALE,FL,33823,7,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FMC - AURORA DIALYSIS CENTER,142515,-,455 MERCY LANE,AURORA,IL,60506,10,ICH CAHPS,71.44%,6,4,4,71.00%,9,4,4,87.80%,10,4,5,63.08%,5,3,4,78.59%,10,4,4,82.85%,10,4,4,8,-,5,5
FMC - AUSTIN COMMUNITY KIDNEY CENTER,142653,-,"4800 W CHICAGO AVE., 2ND FLOOR",CHICAGO,IL,60651,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,4,5,5
FMC- AUSTINTOWN,362523,-,139 JAVIT COURT,AUSTINTOWN,OH,44515,9,ICH CAHPS,67.99%,5,5,4,58.54%,3,5,4,85.93%,9,5,5,60.54%,4,5,4,67.74%,6,5,4,70.43%,6,5,4,6,-,6,5
FMC - AVANTUS HOME THERAPY,142781,-,901 W. UNIVERSITY AVE  SUITE 302,URBANA,IL,61801,10,ICH CAHPS,No Rate,No Score,4,4,No Rate,No Score,4,4,No Rate,No Score,4,5,No Rate,No Score,3,4,No Rate,No Score,4,4,No Rate,No Score,4,4,No Score,"4,5,7",5,5
FMC-Bakersfield,552562,-,"8625 LIBERTY PARK DRIVE, SUITE 102",Bakersfield,CA,93311,18,ICH CAHPS,61.50%,2,5,4,57.48%,2,6,4,73.46%,1,5,5,54.91%,2,5,4,56.10%,3,6,4,64.45%,4,6,4,2,-,6,5
FMC-Bakersfield Northeast,552735,-,3201 MALL VIEW ROAD,BAKERSFIELD,CA,93306,18,ICH CAHPS,58.58%,1,5,4,57.26%,2,6,4,77.00%,3,5,5,56.52%,3,5,4,62.19%,5,6,4,66.74%,5,6,4,3,-,6,5
FMC-Balboa East County,052780,-,570 N. SECOND STREET,El Cajon,CA,92021,18,ICH CAHPS,72.52%,7,5,4,65.70%,6,6,4,80.70%,5,5,5,62.66%,5,5,4,56.58%,3,6,4,60.07%,2,6,4,5,-,6,5
FMC-Balboa Kearny Mesa Dialysis Center,052576,-,"7927 OSTROW STREET, SUITE A",San Diego,CA,92111,18,ICH CAHPS,56.41%,0,5,4,55.28%,1,6,4,71.67%,2,5,5,45.05%,0,5,4,47.96%,0,6,4,52.79%,0,6,4,1,-,6,5
FMC-Balboa Marina Bay,052731,-,"630 BAY BLVD., SUITE 101",Chula Vista,CA,91910,18,ICH CAHPS,73.51%,7,5,4,68.29%,8,6,4,75.15%,1,5,5,61.75%,5,5,4,70.06%,7,6,4,71.09%,6,6,4,6,-,6,5
FMC-Balboa South Bay Home Therapies,552677,-,"340 4TH AVENUE, SUITE 18",Chula Vista,CA,91910,18,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,5,5,No Rate,No Score,5,4,No Rate,No Score,6,4,No Rate,No Score,6,4,No Score,5,6,5
FMC - BALDWIN,232591,-,1101 WASHINGTON ST,BALDWIN,MI,49304,11,ICH CAHPS,No Rate,No Score,5,4,No Rate,No Score,5,4,No Rate,No Score,5,5,No Rate,No Score,4,4,No Rate,No Score,5,4,No Rate,No Score,5,4,No Score,4,5,5
