Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Alternate CCN 2,Alternate CCN 3,Address 1,Address 2,City,State,Zip Code,Network,Hemoglobin 12 g/dL Measure Score,Hemoglobin 12 g/dL Performance Period Rate,Number of Patients Included in Hemoglobin Measure Score Performance Period,Hemoglobin 12 g/dL Baseline Period Rate,Number of Patients Included in Hemoglobin Measure Score Baseline Period,Hemoglobin 12 g/dL Performance Score Applied,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Hemodialysis  Measure Score Performance Period,Number of Kt/V Adult Hemodialysis Patient Months Performance Period,Kt/V Adult Hemodialysis Baseline Period Rate,Number of Kt/V Adult Hemodialysis  Patient Months Baseline Period,Kt/V Adult Hemodialysis Performance Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Performance Period Rate,Number of Patients Included in Kt/V Adult Peritoneal Dialysis Measure Score  Performance Period,Number of Kt/V Adult Peritoneal Dialysis Patient Months Performance Period,Kt/V Adult Peritoneal Dialysis Baseline Period Rate,Number of Kt/V Adult Peritoneal Dialysis Patient Months Baseline Period,Kt/V Adult Peritoneal Dialysis Performance Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Performance Period Rate,Number of Patients Included in Kt/V Pediatric Hemodialysis  Measure Score Performance Period,Number of Kt/V Pediatric Hemodialysis Patient Months Performance Period,Kt/V Pediatric Hemodialysis Baseline Period Rate,Number of Kt/V Pediatric Hemodialysis Patient Months Baseline Period,Kt/V Pediatric Hemodialysis Performance Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,Fistula Measure Score,Fistula Performance Period Rate,Number of Patients Included in Fistula Measure Score  Performance Period,Number of Fistula Patient Months Performance Period,Fistula Baseline Period Rate,Number of Fistula Patient Months Baseline Period,Fistula Performance Score Applied,Catheter Measure Score,Catheter Performance Period Rate,Number of  Patients Included in Catheter Measure Score Performance Period,Number of Catheter Patient Months Performance Period,Catheter Baseline Period Rate,Number of Catheter Patient Months Baseline Period,Catheter Performance Score Applied,Vascular Access Combined Measure Score,ICH CAHPS Admin Score,NHSN Event Reporting Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,Total Performance Score,PY2015 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2013",Date of Ownership Record Update
FMC - NORTH LIMA,362632,,,,9174 MARKET STREET,,NORTH LIMA,OH,44452,9,10,0%,27,0%,31,Achievement,3,80%,56,236,69%,291,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,3,5,58%,30,210,37%,296,Improvement,0,44%,32,156,37%,245,Achievement,2,10,10,5,10,59,0.5%,01/17/2001,FRESENIUS MEDICAL CARE,08/29/2012
SILVERTON DIALYSIS,362633,,,,6929 SILVERTON AVENUE,,CINCINNATI,OH,45236,9,10,0%,30,0%,30,Achievement,7,94%,48,325,92%,380,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,4,58%,37,377,62%,370,Achievement,6,12%,40,355,11%,346,Achievement,5,10,10,10,10,80,No reduction,06/06/2001,DAVITA,07/11/2012
SILVERTON HOMETRAINING DIALYSIS,362634,,,,6929 SILVERTON AVENUE,,CINCINNATI,OH,45236,9,10,0%,12,0%,13,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,88%,25,224,90%,174,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,N/A,N/A,N/A,N/A,No Score Calculated,No reduction,03/01/2001,DAVITA,02/11/2013
"ARM/CDC, LTD.",362635,,,,1950 NILES CORTLAND ROAD SUITE 12,,WARREN,OH,44484,9,10,0%,25,0%,29,Achievement,5,91%,40,341,90%,388,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,5,61%,32,351,56%,391,Achievement,2,20%,36,344,20%,368,Achievement,3,10,10,10,10,70,No reduction,06/28/2001,OTHER CHAIN(number of facilities <20 ),08/13/2013
FMC - AMHERST DIALYSIS,362636,,,,1168 CLEVELAND AVENUE,,AMHERST,OH,44001,9,10,0%,68,1%,76,Achievement,2,88%,91,689,88%,742,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,2,3,56%,79,750,58%,799,Achievement,3,17%,84,703,17%,730,Achievement,3,10,10,10,10,63,No reduction,09/26/2001,FRESENIUS MEDICAL CARE,07/18/2012
OHIO RENAL CARE GROUP-EUCLID,362637,,,,26450 EUCLID AVENUE,,EUCLID,OH,44132,9,10,0%,34,0%,37,Achievement,5,92%,66,455,90%,456,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,5,62%,49,468,61%,458,Achievement,7,9%,53,416,9%,422,Achievement,6,10,10,7,10,76,No reduction,11/15/2001,RENAL CARE GROUP INC.,07/31/2012
FMC - DIALYSIS SERVICES OF LONDON,362638,,,,306 LAFAYETTE STREET SUITE J,,LONDON,OH,43140,9,10,0%,15,0%,16,Achievement,10,97%,22,143,94%,157,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,2,52%,17,156,44%,169,Achievement,5,13%,17,143,23%,146,Achievement,4,10,10,10,10,85,No reduction,02/11/2002,FRESENIUS MEDICAL CARE,04/02/2009
FMC - VAN WERT DIALYSIS,362639,,,,140 FOX ROAD SUITE 405,,VAN WERT,OH,45891,9,10,0%,17,0%,15,Achievement,8,95%,22,182,93%,183,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,7,68%,19,198,68%,210,Achievement,10,5%,19,190,5%,196,Achievement,9,10,10,10,10,93,No reduction,02/09/2002,FRESENIUS MEDICAL CARE,08/24/2010
DAVITA - MERCY CANTON DIALYSIS,362640,,,,1320 MERCY DRIVE NORTH WEST,,CANTON,OH,44708,9,10,0%,40,3%,35,Achievement,10,97%,53,449,96%,408,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,11,N/A,10,7,68%,45,470,59%,411,Achievement,8,7%,46,437,13%,381,Achievement,8,10,10,10,10,95,No reduction,03/06/2002,DAVITA,09/13/2013
"DIALYSIS CENTERS OF NORTHWEST OHIO, LTD",362641,,,,5719 JACKMAN ROAD,,TOLEDO,OH,43613,9,10,0%,43,0%,48,Achievement,2,88%,61,513,98%,560,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,2,4,59%,54,548,57%,595,Achievement,6,11%,56,521,8%,569,Achievement,5,10,10,9,10,67,No reduction,02/27/2002,"US RENAL CARE, INC.",03/05/2014
FMC - TRI-STATE DIALYSIS,362642,,,,517 3RD AVENUE,,CHESAPEAKE,OH,45619,9,10,0%,17,7%,15,Achievement,10,98%,28,197,97%,173,Achievement,N/A,Insufficient data,N/A,3,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,76%,23,211,70%,182,Achievement,6,12%,24,186,21%,169,Achievement,8,10,10,10,10,95,No reduction,03/02/2002,FRESENIUS MEDICAL CARE,04/09/2013
DCI - PORTSMOUTH,362643,,,,1207 17TH STREET,,PORTSMOUTH,OH,45662,9,10,0%,52,4%,51,Achievement,8,95%,60,475,94%,457,Achievement,N/A,Insufficient data,N/A,58,Insufficient data,65,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,5,61%,58,541,65%,514,Achievement,9,6%,60,490,8%,481,Achievement,7,10,10,10,10,88,No reduction,01/29/2002,"DIALYSIS CLINIC, INC.",03/02/2011
PREMIERE KIDNEY CENTER OF NEWARK,362644,,,,65 SOUTH TERRACE AVENUE,,NEWARK,OH,43055,9,10,0%,35,0%,39,Achievement,10,98%,42,399,98%,437,Achievement,N/A,Insufficient data,N/A,47,Insufficient data,53,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,2,52%,36,394,52%,459,Achievement,6,12%,40,394,6%,432,Achievement,4,10,10,10,10,85,No reduction,05/30/2002,DAVITA,12/06/2011
DAVITA - MIDWEST FAIRBORN DIALYSIS,362645,,,,1266 NORTH BROAD STREET,,FAIRBORN,OH,45324,9,10,0%,31,0%,29,Achievement,10,97%,40,268,96%,257,Achievement,N/A,Insufficient data,N/A,11,Insufficient data,14,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,3,54%,33,333,49%,292,Achievement,2,20%,36,307,19%,276,Achievement,2,10,10,10,10,80,No reduction,01/01/2002,DAVITA,04/27/2012
FMC - GALLIPOLIS,362646,,,,"137 PINE STREET, SUITE 101",,GALLIPOLIS,OH,45631,9,10,0%,33,0%,28,Achievement,8,95%,39,304,93%,298,Achievement,N/A,Insufficient data,N/A,55,Insufficient data,34,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,6,63%,33,339,72%,334,Achievement,1,22%,33,313,12%,306,Achievement,4,10,10,10,10,80,No reduction,07/09/2002,FRESENIUS MEDICAL CARE,06/19/2012
BUTLER COUNTY DIALYSIS,362647,,,,3497 SOUTH DIXIE HIGHWAY,,FRANKLIN,OH,45005,9,10,0%,33,0%,29,Achievement,10,99%,45,369,98%,412,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,75%,41,395,69%,425,Achievement,9,6%,44,355,10%,395,Achievement,9,10,10,10,10,98,No reduction,07/10/2002,DAVITA,07/12/2013
FMC - MT. CARMEL WEST,362648,,,,745 WEST STATE STREET SUITE 660,,COLUMBUS,OH,43222,9,10,0%,37,0%,52,Achievement,7,94%,57,434,91%,512,Achievement,N/A,Insufficient data,N/A,68,Insufficient data,72,N/A,N/A,Insufficient data,N/A,0,Insufficient data,3,N/A,7,6,65%,44,455,66%,527,Achievement,6,12%,49,421,12%,490,Achievement,6,10,10,10,10,83,No reduction,07/01/2002,FRESENIUS MEDICAL CARE,07/26/2012
LIBERTY MID-AMERICA DIALYSIS LLC.,362649,,,,2355 SOUTH HAMILTON ROAD,,COLUMBUS,OH,43232,9,10,0%,48,0%,49,Achievement,10,97%,66,570,96%,533,Achievement,N/A,Insufficient data,N/A,77,Insufficient data,80,N/A,N/A,Insufficient data,N/A,0,Insufficient data,3,N/A,10,6,65%,56,576,62%,533,Achievement,4,16%,61,546,15%,496,Achievement,5,10,10,10,10,88,No reduction,08/27/2002,NOT A CHAIN,03/12/2013
DAVITA - COLUMBUS DOWNTOWN DIALYSIS,362650,,,,415 EAST MOUND STREET,,COLUMBUS,OH,43215,9,10,0%,30,0%,36,Achievement,10,97%,47,374,97%,454,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,6,63%,35,374,64%,470,Achievement,7,9%,42,365,8%,439,Achievement,7,10,10,10,10,93,No reduction,08/01/2002,DAVITA,04/03/2012
DAVITA - MUNROE FALLS,362651,,,,265 NORTH MAIN STREET,,MUNROE FALLS,OH,44262,9,4,3%,31,0%,35,Achievement,10,98%,42,359,97%,388,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,76%,37,384,72%,398,Achievement,10,3%,39,357,4%,370,Achievement,10,10,10,10,10,85,No reduction,10/01/2002,DAVITA,04/17/2012
KIDNEY CENTER OF COLUMBUS NORTH,362652,,,,5700 KARL ROAD,,COLUMBUS,OH,43229,9,10,0%,15,0%,20,Achievement,10,98%,28,203,93%,235,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,60%,19,196,63%,238,Achievement,1,21%,21,187,17%,204,Achievement,3,10,10,10,10,83,No reduction,11/26/2002,AMERICAN RENAL ASSOCIATES,08/28/2012
KIDNEY CENTER OF COLUMBUS EAST,362653,,,,1805 EAST MAIN STREET,,COLUMBUS,OH,43205,9,10,0%,51,0%,67,Achievement,10,99%,87,738,90%,789,Achievement,N/A,Insufficient data,N/A,1,Insufficient data,1,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,2,47%,74,769,40%,831,Improvement,4,17%,78,719,25%,791,Improvement,3,10,10,10,10,83,No reduction,02/05/2003,AMERICAN RENAL ASSOCIATES,01/29/2013
"DEFIANCE DIALYSIS CENTER, LTD",362654,,,,220 STADIUM DRIVE,,DEFIANCE,OH,43512,9,10,0%,28,0%,25,Achievement,10,99%,35,351,97%,301,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,2,52%,34,366,57%,315,Achievement,6,12%,35,344,3%,288,Achievement,4,10,9,10,10,84,No reduction,02/12/2003,"US RENAL CARE, INC.",01/14/2014
DCA OF CINCINNATI,362655,,,,7600 AFFINITY PLACE,,MT HEALTHY,OH,45231,9,0,7%,30,0%,27,Achievement,5,92%,38,258,93%,260,Achievement,N/A,Insufficient data,N/A,46,74%,73,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,9,72%,31,324,65%,286,Achievement,7,9%,34,316,15%,268,Achievement,8,10,10,6,10,55,0.5%,03/30/2003,OTHER CHAIN(number of facilities <20 ),03/13/2014
KIDNEY SERVICES OF WEST CENTRAL OHIO,362656,,,,"750 WEST HIGH STREET, SUITE 100",,LIMA,OH,45801,9,10,0%,99,0%,92,Achievement,8,95%,93,791,96%,686,Achievement,5,77%,48,341,75%,374,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,5,61%,88,886,58%,806,Achievement,6,12%,92,828,15%,753,Achievement,6,10,10,10,10,83,No reduction,02/25/2003,NOT A CHAIN,08/24/2012
FMC - MT. CARMEL EAST,362657,,,,"85 MCNAUGHTEN ROAD, SUITE 140",,COLUMBUS,OH,43213,9,10,0%,63,0%,72,Achievement,6,93%,87,656,91%,720,Achievement,8,88%,13,104,81%,113,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,4,58%,69,670,50%,763,Achievement,1,21%,73,628,21%,714,Achievement,2,10,10,7,10,68,No reduction,01/01/2003,FRESENIUS MEDICAL CARE,08/23/2012
DAVITA - DARKE COUNTY DIALYSIS,362659,,,,"1111 SWEITZER STREET, SUITE B",,GREENVILLE,OH,45331,9,10,0%,22,0%,22,Achievement,10,97%,31,251,98%,226,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,78%,31,283,74%,256,Achievement,5,13%,31,249,19%,234,Achievement,8,10,10,10,10,95,No reduction,05/29/2003,DAVITA,08/19/2013
"HOME DIALYSIS SERVICES OF SANDUSKY, INC.",362660,,,,"2819 SOUTH HAYES, SUITE 2",,SANDUSKY,OH,44870,9,N/A,Insufficient data,1,Insufficient data,5,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,49,Insufficient data,81,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,N/A,N/A,N/A,N/A,No Score Calculated,No reduction,06/09/2003,NOT A CHAIN,07/21/2010
KIDNEY CENTER OF COLUMBUS SOUTH,362661,,,,2046 LOCKBOURNE ROAD,,COLUMBUS,OH,43207,9,10,0%,36,0%,37,Achievement,10,99%,50,462,92%,491,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,4,58%,43,465,56%,503,Achievement,6,11%,46,455,16%,499,Achievement,5,10,10,10,10,88,No reduction,07/14/2003,AMERICAN RENAL ASSOCIATES,03/22/2013
"DCA OF COLUMBUS, LLC",362662,,,,2360 CITYGATE DRIVE,,COLUMBUS,OH,43219,9,10,0%,17,0%,19,Achievement,0,85%,23,130,97%,152,Achievement,N/A,Insufficient data,N/A,36,Insufficient data,16,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,0,44%,15,123,47%,175,Achievement,2,24%,19,117,29%,147,Improvement,1,10,10,10,10,53,0.5%,09/10/2003,"US RENAL CARE, INC.",09/25/2012
DAVITA - COSHOCTON DIALYSIS,362663,,,,1404 CHESTNUT STREET,,COSHOCTON,OH,43812,9,N/A,Insufficient data,8,0%,20,N/A,10,98%,14,84,93%,172,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,N/A,Insufficient data,N/A,79,53%,186,N/A,N/A,Insufficient data,N/A,73,22%,153,N/A,N/A,10,10,10,9,99,No reduction,09/10/2003,DAVITA,09/13/2013
DCI - WESTCHESTER,362664,,,,7650 WELLNESS WAY,,WEST CHESTER,OH,45069,9,4,3%,38,0%,31,Achievement,9,96%,49,408,97%,359,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,1,35%,44,435,29%,371,Improvement,0,30%,47,378,25%,334,Achievement,0,10,10,10,10,58,0.5%,10/07/2003,"DIALYSIS CLINIC, INC.",09/05/2012
FMC - DEFIANCE,362665,,,,"1850 EAST SECOND STREET, SUITES 1850 & 1846",,DEFIANCE,OH,43512,9,10,0%,23,0%,21,Achievement,0,80%,27,220,83%,214,Achievement,N/A,Insufficient data,N/A,52,Insufficient data,28,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,2,51%,27,269,42%,268,Achievement,6,12%,29,244,11%,249,Achievement,4,10,10,10,10,60,No reduction,12/01/2003,FRESENIUS MEDICAL CARE,08/30/2012
FMC - SOLON,362666,,,,6020 ENTERPRISE PARKWAY,,SOLON,OH,44139,9,10,0%,40,0%,36,Achievement,6,93%,54,417,92%,389,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,6,64%,46,433,62%,398,Achievement,10,4%,48,385,2%,356,Achievement,8,10,10,8,10,84,No reduction,03/15/2004,FRESENIUS MEDICAL CARE,11/04/2010
FMC - VALLEY CITY,362667,,,,2400 COLUMBIA ROAD,,MEDINA,OH,44256,9,10,0%,16,0%,21,Achievement,5,88%,32,160,79%,204,Improvement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,5,59%,21,164,37%,202,Improvement,0,24%,23,123,22%,167,Achievement,2,10,10,10,10,68,No reduction,04/08/2004,FRESENIUS MEDICAL CARE,02/25/2010
FMC - HAMILTON,362668,,,,"3090 MCBRIDE COURT, SUITE A",,HAMILTON,OH,45011,9,10,0%,43,0%,50,Achievement,6,93%,68,533,93%,521,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,6,6,64%,55,565,48%,585,Achievement,3,17%,63,536,23%,538,Achievement,4,10,10,10,9,74,No reduction,05/28/2004,FRESENIUS MEDICAL CARE,02/19/2014
ALLIANCE COMMUNITY DIALYSIS,362669,,,,"270 EAST STATE STREET, SUITE 110",,ALLIANCE,OH,44601,9,10,0%,65,0%,64,Achievement,10,98%,70,565,98%,636,Achievement,10,95%,16,127,93%,107,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,2,51%,65,667,49%,698,Achievement,6,12%,70,625,17%,654,Achievement,4,10,10,10,10,85,No reduction,06/02/2004,DAVITA,08/23/2012
FMC - MASSILLON DIALYSIS CENTER,362670,,,,2474 LINCOLN WAY EAST,,MASSILLON,OH,44646,9,10,0%,22,0%,27,Achievement,8,95%,27,223,90%,295,Achievement,N/A,Insufficient data,N/A,5,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,9,73%,24,234,71%,293,Achievement,4,16%,25,217,17%,261,Achievement,6,10,10,9,10,84,No reduction,07/07/2004,FRESENIUS MEDICAL CARE,04/23/2013
DAVITA - BELPRE DIALYSIS,362671,,,,2906 WASHINGTON BOULEVARD,,BELPRE,OH,45714,9,10,0%,21,0%,38,Achievement,10,97%,29,241,99%,283,Achievement,N/A,Insufficient data,N/A,6,97%,98,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,97%,22,249,93%,321,Achievement,10,3%,26,254,3%,301,Achievement,10,10,10,10,10,100,No reduction,08/20/2004,DAVITA,12/21/2010
DIALYSIS CENTERS OF WARREN COUNTY,362672,,,,90 COMMERCIAL WAY,,SPRINGBORO,OH,45066,9,10,0%,20,0%,21,Achievement,10,97%,29,229,98%,243,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,80%,25,249,79%,257,Achievement,4,16%,27,223,12%,231,Achievement,7,10,10,10,10,93,No reduction,09/02/2004,NOT A CHAIN,09/20/2013
PUTNAM CTY AMBULATORY CARE CTR-DIALYSIS,362674,,,,601 STATE RT 224,P.O. BOX 100,GLANDORF,OH,45848,9,10,0%,16,0%,19,Achievement,10,98%,23,170,99%,166,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,5,62%,20,184,65%,193,Achievement,7,10%,22,164,10%,176,Achievement,6,10,10,10,10,90,No reduction,01/01/2005,NOT A CHAIN,07/26/2011
FMC - WASHINGTON COURTHOUSE,362675,,,,1280 RAWLING STREET,,WASHINGTON COURT HOU,OH,43160,9,10,0%,20,0%,18,Achievement,0,79%,31,257,86%,218,Achievement,N/A,Insufficient data,N/A,12,Insufficient data,22,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,4,59%,26,268,55%,239,Achievement,6,12%,28,249,19%,212,Achievement,5,10,10,0,10,56,0.5%,02/15/2005,FRESENIUS MEDICAL CARE,08/10/2012
CHILLICOTHE REGIONAL DIALYSIS CENTER,362677,,,,465 SHAWNEE LANE,,CHILLICOTHE,OH,45601,9,10,0%,47,0%,59,Achievement,10,97%,56,525,95%,634,Achievement,N/A,Insufficient data,N/A,47,Insufficient data,52,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,7,68%,53,570,64%,679,Achievement,5,13%,57,552,15%,651,Achievement,6,10,10,10,10,90,No reduction,05/17/2005,AMERICAN RENAL ASSOCIATES,03/01/2012
"NEPHROLOGY ASSOCIATES OF CLEVELAND, LTD.",362678,,,,"5595 TRANSPORTATION BOULEVARD, SUITE 110",,GARFIELD HEIGHTS,OH,44125,9,10,0%,63,2%,64,Achievement,10,97%,78,692,94%,663,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,8,70%,68,725,71%,700,Achievement,10,5%,71,671,9%,651,Achievement,9,10,10,10,10,98,No reduction,07/13/2005,OTHER CHAIN(number of facilities <20 ),06/15/2012
FMC - HERITAGE DIALYSIS,362679,,,,1160 EAST BROAD STREET,,ELYRIA,OH,44035,9,10,0%,46,0%,57,Achievement,8,95%,64,492,93%,514,Achievement,5,80%,18,121,84%,147,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,6,64%,55,533,80%,555,Achievement,6,12%,63,494,5%,525,Achievement,6,10,10,9,10,82,No reduction,11/23/2005,FRESENIUS MEDICAL CARE,02/22/2011
NORTHWOOD DIALYSIS,362680,,,,611 LEMOYNE ROAD,,NORTHWOOD,OH,43619,9,10,0%,28,0%,27,Achievement,7,94%,36,283,93%,276,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,7,10,79%,35,351,68%,310,Achievement,8,7%,35,311,15%,276,Achievement,9,10,10,10,10,90,No reduction,11/30/2005,DAVITA,04/25/2012
US RENAL CARE OF NORWOOD DIALYSIS,362681,,,,1721 TENNESSEE AVENUE,,CINCINNATI,OH,45229,9,10,0%,31,0%,31,Achievement,8,95%,36,364,98%,340,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,4,59%,35,390,45%,368,Achievement,7,9%,37,375,17%,349,Achievement,6,10,10,10,10,85,No reduction,12/08/2005,"US RENAL CARE, INC.",08/29/2012
DCI - SEAMAN,362682,,,,65 COMMERCE DRIVE,,SEAMAN,OH,45679,9,10,0%,15,6%,16,Achievement,10,97%,18,142,98%,146,Achievement,N/A,Insufficient data,N/A,46,Insufficient data,41,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,10,10,79%,14,147,85%,149,Achievement,10,0%,15,136,3%,140,Achievement,10,10,10,9,10,99,No reduction,09/01/2005,"DIALYSIS CLINIC, INC.",05/08/2012
FAIRBORN DIALYSIS,362683,,,,"3070 PRESIDENTIAL DRIVE, SUITE 120",,FAIRBORN,OH,45324,9,10,0%,23,0%,24,Achievement,5,91%,35,233,94%,253,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,5,10,81%,25,240,60%,259,Achievement,5,13%,30,167,8%,236,Achievement,7,10,10,10,10,80,No reduction,01/19/2006,DAVITA,08/27/2012
DAVITA DIALYSIS - STRONGSVILLE,362684,,,,17792 PEARL ROAD,,STRONGSVILLE,OH,44136,9,10,0%,32,0%,30,Achievement,9,96%,42,325,95%,295,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,9,6,64%,37,369,65%,368,Achievement,4,16%,44,341,12%,325,Achievement,5,10,10,10,10,85,No reduction,06/21/2006,DAVITA,08/29/2012
DIALYSIS CLINIC INC.,362685,,,,4227 MALL DRIVE,,STEUBENVILLE,OH,43952,9,10,0%,25,0%,30,Achievement,5,92%,30,213,91%,289,Achievement,9,92%,12,92,Insufficient data,64,Achievement,N/A,Insufficient data,N/A,12,Insufficient data,12,N/A,6,5,60%,23,226,52%,297,Achievement,8,7%,28,218,21%,273,Achievement,7,10,10,9,10,82,No reduction,08/04/2006,"DIALYSIS CLINIC, INC.",04/25/2012
FMC- WESTERVILLE DIALYSIS,362686,,,,"477 COOPER ROAD, SUITE 140",,WESTERVILLE,OH,43081,9,10,0%,37,0%,35,Achievement,0,79%,54,385,85%,375,Achievement,N/A,Insufficient data,N/A,1,Insufficient data,0,N/A,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,0,6,64%,48,423,59%,379,Achievement,8,8%,47,344,15%,342,Achievement,7,10,8,7,10,64,No reduction,08/17/2006,FRESENIUS MEDICAL CARE,08/29/2012
DAVITA - WHITE OAK HOME DIALYSIS,362687,,,,"5520 CHEVIOT ROAD, SUITE B",,CINCINNATI,OH,45247,9,10,0%,37,0%,31,Achievement,N/A,Insufficient data,N/A,1,Insufficient data,2,N/A,8,88%,48,371,90%,314,Achievement,N/A,Insufficient data,N/A,0,Insufficient data,0,N/A,8,7,68%,14,130,Insufficient data,96,Achievement,6,11%,14,111,11%,93,Achievement,7,N/A,N/A,10,10,88,No reduction,08/17/2006,DAVITA,08/23/2012
