Facility Name,CMS Certification Number (CCN),Alternate CCN 1,Address 1,Address 2,City,State,Zip Code,Network,VAT Catheter Measure Score,VAT Catheter Achievement Measure Rate,Number of Patients Included in VAT Catheter Measure Score Achievement Period,VAT Catheter Achievement Period Numerator,VAT Catheter Achievement Period Denominator,VAT Catheter Improvement Measure Rate,VAT Catheter Improvement Period Numerator,VAT Catheter Improvement Period Denominator,VAT Catheter Measure Score Applied,VAT Fistula Measure Score,VAT Fistula Achievement Measure Rate,Number of Patients Included in VAT Fistula Measure Score Achievement Period,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Improvement Measure Rate,VAT Fistula Improvement Period Numerator,VAT Fistula Improvement Period Denominator,VAT Fistula Measure Score Applied,VAT Combined Measure Score,National Avg VAT Combined Measure Score,Kt/V Adult Hemodialysis Measure Score,Kt/V Adult Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Hemodialysis Measure Score Achievement Period,Kt/V Adult Hemodialysis Achievement Period Numerator,Kt/V Adult Hemodialysis Achievement Period Denominator,Kt/V Adult Hemodialysis Improvement Measure Rate,Kt/V Adult Hemodialysis Improvement Period Numerator,Kt/V Adult Hemodialysis Improvement Period Denominator,Kt/V Adult Hemodialysis Measure Score Applied,Kt/V Adult Peritoneal Dialysis Measure Score,Kt/V Adult Peritoneal Dialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Adult Peritoneal Dialysis Measure Score Achievement Period,Kt/V Adult Peritoneal Dialysis Achievement Period Numerator,Kt/V Adult Peritoneal Dialysis Achievement Period Denominator,Kt/V Adult Peritoneal Dialysis Improvement Measure Rate,Kt/V Adult Peritoneal Dialysis Improvement Period Numerator,Kt/V Adult Peritoneal Dialysis Improvement Period Denominator,Kt/V Adult Peritoneal Dialysis Measure Score Applied,Kt/V Pediatric Hemodialysis Measure Score,Kt/V Pediatric Hemodialysis Achievement Measure Rate,Number of Patients Included in  Kt/V Pediatric Hemodialysis Measure Score Achievement Period,Kt/V Pediatric Hemodialysis Achievement Period Numerator,Kt/V Pediatric Hemodialysis Achievement Period Denominator,Kt/V Pediatric Hemodialysis Improvement Measure Rate,Kt/V Pediatric Hemodialysis Improvement Period Numerator,Kt/V Pediatric Hemodialysis Improvement Period Denominator,Kt/V Pediatric Hemodialysis Measure Score Applied,Kt/V Dialysis Adequacy Combined Measure Score,National Avg Kt/V Dialysis Adequacy Combined Measure Score,Hypercalcemia Measure Score,Hypercalcemia Achievement Measure Rate,Number of Patients Included in Hypercalcemia Measure Score Achievement Period,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Improvement Measure Rate,Hypercalcemia Improvement Period Numerator,Hypercalcemia Improvement Period Denominator,Hypercalcemia Measure Score Applied,NHSN Measure Score,NHSN Achievement Measure Ratio,Number of Patients Included in NHSN Measure Score Achievement Period,NHSN Observed Achievement Period Numerator,NHSN Predicted Achievement Period Denominator,NHSN Improvement Measure Ratio,NHSN Observed Improvement Period Numerator,NHSN Predicted Improvement Period Denominator,NHSN Measure Score Applied,ICH CAHPS Admin Score,Mineral Metabolism Reporting Score,Anemia Management Reporting Score,SRR Measure Score,SRR Achievement Measure Ratio,SRR Index Discharges,SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Measure Ratio,SRR Improvement Period Numerator,SRR Improvement Period Denominator,SRR Measure Score Applied,Total Performance Score,PY2017 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2015",Date of Ownership Record Update
MILLER STREET DIALYSIS CENTER OF WAKE FOREST UNIVERSITY,342667,-,120 MILLER ST,-,WINSTON SALEM,NC,27103,6,1,18%,91,135,756,19%,144,759,Achievement,8,75%,87,627,834,69%,588,854,Achievement,4,6,6,96%,102,702,734,97%,659,676,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,10,0%,156,3,1284,2%,26,1217,Achievement,7,0.582,261,6,10.308,1.735,16,9.219,Achievement,10,10,10,7,0.82,173,43,52.45,1.4,71,50.86,Achievement,74,No Reduction,6/5/2009,WAKE FOREST UNIVERSITY,7/19/2015
FRESENIUS MEDICAL CARE FRANKLIN COUNTY HOME DIALYSIS,342668,-,60 WHEATON AVE,STE 78,YOUNGSVILLE,NC,27596,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,7,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,No Score,No Score,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,No Reduction,5/6/2009,FRESENIUS MEDICAL CARE,11/17/2014
SOUTHPORT DIALYSIS CENTER,342669,-,1513 N HOWE ST STE # 15,-,SOUTHPORT,NC,28461,6,7,8%,32,23,272,8%,26,309,Achievement,4,64%,29,186,289,67%,228,339,Achievement,6,6,10,100%,35,271,272,98%,308,313,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,39,0,298,0%,0,371,Achievement,0,2.2,82,4,1.818,1.508,4,2.653,Achievement,No Score,5,10,7,0.85,33,9,9.96,0.83,10,11.98,Achievement,66,No Reduction,7/23/2009,DAVITA,6/29/2015
HARRISBURG DIALYSIS CENTER,342670,-,3310 PERRY ST,-,CONCORD,NC,28027,6,6,9%,55,33,383,10%,38,399,Achievement,3,57%,48,243,429,47%,208,446,Improvement,5,6,7,97%,61,393,405,99%,404,407,Achievement,9,95%,17,122,130,99%,110,111,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,8,1%,103,10,850,1%,4,800,Achievement,8,0.234,153,1,4.266,0.762,3,3.939,Achievement,10,7,10,10,0.64,59,9,14.02,0.9,21,23.25,Achievement,79,No Reduction,8/6/2009,DAVITA,8/7/2009
BMA SOUTH GASTON DIALYSIS,342671,-,710 WEST HUDSON BLVD.,-,GASTONIA,NC,28052,6,10,3%,65,19,631,4%,23,580,Achievement,8,73%,63,494,679,74%,457,614,Achievement,9,6,8,98%,65,618,631,96%,550,571,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,83,9,811,3%,25,756,Achievement,5,1.002,107,4,3.993,0.988,5,5.059,Achievement,10,10,10,10,0.41,45,4,9.75,1.13,20,17.64,Achievement,85,No Reduction,12/14/2009,FRESENIUS MEDICAL CARE,7/7/2014
FMC EASTERN WAKE,342672,-,670 GRANITE VISTA DRIVE,-,ROLESVILLE,NC,27571,6,5,10%,51,45,450,11%,43,398,Achievement,5,66%,47,320,483,68%,290,425,Achievement,5,6,5,95%,52,434,459,94%,375,398,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,6,3%,60,18,626,8%,44,563,Improvement,10,0,103,0,3.506,0.276,1,3.619,Achievement,10,10,10,8,0.73,29,5,6.49,0.82,4,4.9,Achievement,76,No Reduction,12/14/2009,FRESENIUS MEDICAL CARE,8/7/2010
FRESENIUS MEDICAL CARE OF ANSON COUNTY,342673,-,2349 US HWY 74 WEST,-,WADESBORO,NC,28170,6,5,10%,36,33,337,7%,20,296,Achievement,7,71%,33,251,354,75%,235,312,Achievement,6,6,6,96%,36,320,333,91%,274,300,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,8,1%,48,6,469,0%,1,385,Achievement,0,1.889,57,6,3.176,0.832,2,2.402,Achievement,No Score,10,10,7,0.81,30,8,9.15,0.44,2,4.51,Achievement,64,No Reduction,12/7/2009,FRESENIUS MEDICAL CARE,5/20/2015
FRESENIUS MEDICAL CARE WATAUGA COUNTY,342674,342312,337 DEERFIELD ROAD,-,BOONE,NC,28607,6,7,7%,34,18,269,8%,26,312,Achievement,10,85%,32,258,303,85%,273,323,Achievement,8,6,9,99%,33,260,263,98%,299,305,Achievement,10,96%,12,67,71,87%,90,104,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,62,5,495,1%,5,532,Achievement,10,0,100,0,2.652,1.31,3,2.289,Achievement,No Score,9,10,7,0.81,50,9,11.11,0.62,5,8.04,Achievement,87,No Reduction,5/1/1989,FRESENIUS MEDICAL CARE,5/2/2009
WAKE FOREST DIALYSIS CENTER,342675,-,11001 INGLESIDE PLACE,-,RALEIGH,NC,27614,6,10,3%,69,20,580,3%,16,499,Achievement,5,66%,63,416,633,56%,312,559,Achievement,8,6,8,98%,73,578,587,100%,484,485,Achievement,10,98%,20,167,170,98%,96,98,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,8,1%,105,10,921,1%,6,803,Achievement,3,1.3,182,5,3.846,1.099,4,3.64,Achievement,10,6,10,10,0.61,79,11,18.13,1.17,22,18.86,Achievement,77,No Reduction,2/26/2010,DAVITA,4/15/2014
DCI SOUTH SHELBY,342676,-,1530 SOUTH LAFAYETTE STREET,-,SHELBY,NC,28152,6,8,5%,39,19,350,9%,30,333,Achievement,4,64%,39,246,385,67%,247,367,Achievement,6,6,5,95%,38,307,324,96%,317,330,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,10,0%,48,2,437,4%,15,420,Achievement,6,0.643,73,2,3.112,1.258,4,3.179,Achievement,No Score,9,10,8,0.75,36,7,9.03,0.83,12,14.48,Achievement,75,No Reduction,4/7/2010,"DIALYSIS CLINIC, INC.",4/8/2010
DAVIE KIDNEY CENTER OF WAKE FOREST UNIVERSITY,342677,-,190 INTERSTATE DRIVE,-,MOCKSVILLE,NC,27028,6,3,14%,37,43,308,15%,48,314,Achievement,8,75%,36,252,335,71%,238,336,Achievement,5,6,10,100%,38,294,294,98%,286,291,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,60,0,467,0%,0,419,Achievement,3,1.235,73,5,4.048,0.626,2,3.196,Achievement,No Score,10,10,6,0.91,65,15,16.57,1.02,12,11.73,Achievement,74,No Reduction,9/9/2010,NOT A CHAIN,3/26/2015
FRESENIUS MEDICAL CARE STALLINGS STATION,342678,-,5420 BARBER MILL ROAD,-,CLAYTON,NC,27520,6,5,10%,63,58,565,7%,32,474,Achievement,6,68%,58,403,594,63%,338,538,Achievement,5,6,0,89%,70,499,560,92%,453,491,Achievement,9,94%,21,151,162,92%,131,142,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,2,7,8,1%,113,10,989,2%,19,815,Achievement,2,1.524,127,8,5.251,0.238,1,4.202,Achievement,10,9,10,6,0.86,119,27,31.47,0.76,16,20.99,Achievement,57,0.50%,9/10/2010,FRESENIUS MEDICAL CARE,2/17/2014
CARTHAGE DIALYSIS,342679,-,165 SAVANNAH GARDEN DR,-,CARTHAGE,NC,28327,6,10,3%,22,5,198,1%,2,231,Achievement,5,65%,20,125,205,63%,152,243,Achievement,8,6,10,100%,24,201,201,100%,226,227,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,8,1%,32,3,274,1%,4,301,Achievement,10,0,49,0,1.117,0.737,1,1.357,Achievement,No Score,8,10,4,1,24,8,6.27,0.91,9,9.88,Achievement,82,No Reduction,10/6/2010,DAVITA,10/7/2010
FMS SOUTH DURHAM DIALYSIS CENTER,342680,-,3516 TRICENTER BLVD,-,DURHAM,NC,27713,6,10,3%,38,10,361,12%,41,337,Achievement,6,67%,35,257,382,54%,207,382,Achievement,8,6,4,94%,43,335,356,91%,326,358,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,4,7,10,0%,52,0,498,5%,23,491,Achievement,7,0.436,80,1,2.293,1.202,4,3.327,Achievement,No Score,10,10,8,0.73,22,4,4.86,0.86,12,13.89,Achievement,79,No Reduction,8/2/2010,FRESENIUS MEDICAL CARE,9/28/2015
FRESENIUS MEDICAL CARE MATTHEWS,342681,-,910 PARK CENTER DRIVE,-,MATTHEWS,NC,28105,6,7,7%,71,45,629,2%,14,590,Achievement,7,71%,66,479,671,74%,487,660,Achievement,7,6,0,89%,82,585,656,94%,588,625,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,0,7,7,3%,97,25,967,10%,87,842,Improvement,8,0.357,170,2,5.6,0.606,3,4.95,Achievement,10,6,10,5,0.94,102,26,27.69,0.58,15,25.77,Achievement,61,No Reduction,2/4/2011,FRESENIUS MEDICAL CARE,4/7/2012
FMC PEMBROKE,342682,-,1327 HARRY WEST LANE,-,PEMBROKE,NC,28372,6,9,4%,54,21,503,2%,8,476,Achievement,2,57%,51,302,531,60%,299,500,Achievement,6,6,4,94%,55,467,498,95%,457,479,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,4,7,8,1%,61,7,595,2%,12,570,Achievement,6,0.645,75,2,3.1,0.355,1,2.82,Achievement,10,8,10,10,0.56,73,10,17.96,0.96,20,20.86,Achievement,74,No Reduction,2/11/2011,FRESENIUS MEDICAL CARE,9/22/2014
SOUTHPOINT DIALYSIS,342683,-,415 W NC HIGHWAY 54,-,DURHAM,NC,27713,6,6,9%,42,36,414,5%,15,309,Achievement,7,72%,41,320,445,76%,258,339,Achievement,6,6,9,99%,47,432,435,99%,321,323,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,6,2%,66,10,652,0%,2,528,Achievement,2,1.438,91,6,4.173,0.394,1,2.536,Achievement,10,10,10,0,1.32,41,14,10.44,0.95,10,10.55,Achievement,59,0.50%,7/14/2011,DAVITA,7/14/2011
FRESENIUS MEDICAL CARE CENTRAL RALEIGH,342684,-,802 SEMART DRIVE,-,RALEIGH,NC,27604,6,7,7%,50,33,489,4%,20,457,Achievement,6,68%,46,344,509,66%,328,498,Achievement,7,6,4,94%,51,440,469,93%,438,473,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,4,7,4,3%,65,17,637,4%,24,606,Achievement,4,1.154,76,4,3.468,1.96,7,3.571,Achievement,10,9,10,3,1.06,61,16,15.06,0.41,5,12.18,Achievement,57,0.50%,10/19/2011,FRESENIUS MEDICAL CARE,6/1/2015
CAPE FEAR DIALYSIS,342685,-,3005 ENTERPRISE DRIVE,-,WILMINGTON,NC,28405,6,5,11%,102,100,951,7%,60,920,Achievement,2,58%,99,596,1022,67%,664,984,Achievement,4,6,8,98%,111,926,943,99%,917,928,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,10,0%,137,2,1289,1%,11,1212,Achievement,7,0.499,222,4,8.022,0.987,7,7.091,Achievement,10,9,10,4,1.02,157,47,46.14,1.04,37,35.71,Achievement,72,No Reduction,11/10/2011,DAVITA,1/15/2014
NORTH BURLINGTON DIALYSIS,342686,-,2019 NORTH CHURCH STREET,-,BURLINGTON,NC,27217,6,7,7%,48,31,451,8%,32,393,Achievement,3,61%,47,298,490,62%,263,422,Achievement,5,6,7,97%,50,451,466,99%,385,390,Achievement,9,94%,11,73,82,85%,75,88,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,10,0%,84,1,789,0%,1,703,Achievement,5,0.94,103,4,4.254,0.585,2,3.419,Achievement,10,10,10,5,0.98,95,23,23.54,0.91,20,21.9,Achievement,71,No Reduction,12/22/2011,DAVITA,3/14/2014
FRESENIUS MEDICAL CARE OF ALEXANDER COUNTY,342687,-,175 COMMERCE DRIVE,-,TAYLORSVILLE,NC,28681,6,10,1%,20,1,198,0%,0,129,Achievement,10,91%,20,190,209,84%,127,151,Achievement,10,6,9,99%,22,200,203,99%,138,139,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,35,3,344,3%,7,262,Achievement,0,2.711,43,3,1.107,0.889,1,1.124,Achievement,No Score,9,9,2,1.13,41,13,11.34,0.49,3,6.07,Achievement,65,No Reduction,3/16/2012,FRESENIUS MEDICAL CARE,3/17/2012
FMC ROSEBORO DIALYSIS,342688,-,100 EAST PLEASANT ST,-,ROSEBORO,NC,28382,6,9,4%,34,12,279,3%,10,306,Achievement,4,64%,30,196,308,66%,212,322,Achievement,7,6,0,89%,35,216,243,92%,265,287,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,0,7,10,0%,52,2,449,3%,14,436,Achievement,10,0,63,0,2.776,2.342,4,1.708,Achievement,No Score,8,10,0,1.52,59,21,13.8,1.38,18,13.07,Achievement,61,No Reduction,3/5/2012,FRESENIUS MEDICAL CARE,2/23/2015
FMC BRUNSWICK COUNTY,342689,-,98 STONE CHIMNEY ROAD SE,-,SUPPLY,NC,28462,6,10,3%,13,4,109,0%,0,72,Achievement,10,85%,12,105,124,88%,86,98,Achievement,10,6,9,99%,13,109,110,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,6,2%,16,4,146,5%,5,100,Achievement,10,0,82,0,0.779,0,0,0.631,Achievement,No Score,10,10,8,0.73,12,3,3.04,No Rate,,N/A,Achievement,91,No Reduction,8/29/2012,FRESENIUS MEDICAL CARE,8/29/2012
SANDHILLS DIALYSIS,342690,-,809 S. LONG DRIVE,-,ROCKINGHAM,NC,28379,6,10,2%,53,8,477,1%,5,350,Achievement,1,55%,50,285,519,55%,214,389,Achievement,6,6,7,97%,53,456,469,99%,345,350,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,10,0%,60,0,576,0%,1,422,Achievement,0,2.037,79,5,2.454,1.044,2,1.915,Achievement,10,10,10,3,1.09,72,21,19.35,1.29,27,20.86,Achievement,61,No Reduction,9/10/2012,DAVITA,9/10/2012
CAROLINA DIALYSIS OF MEBANE,342691,-,1410 SOUTH 3RD STREET,-,MEBANE,NC,27302,6,8,5%,32,15,301,4%,11,253,Achievement,1,55%,31,180,326,58%,155,265,Achievement,5,6,6,96%,34,293,306,99%,254,257,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,3,4%,49,23,633,6%,28,481,Improvement,0,2.628,62,7,2.664,2.336,5,2.141,Achievement,10,9,10,10,0.56,58,8,14.29,1.12,17,15.24,Achievement,61,No Reduction,7/20/2012,FRESENIUS MEDICAL CARE,3/7/2016
"DVA HEALTHCARE RENAL CARE, INC.",342692,-,11308 HAWTHORNE DR,-,CHARLOTTE,NC,28227,6,2,15%,33,48,314,14%,36,257,Achievement,3,60%,32,208,344,63%,172,275,Achievement,2,6,10,100%,36,330,331,99%,255,258,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,46,0,450,0%,0,349,Achievement,6,0.685,55,2,2.92,1.763,4,2.269,Achievement,10,7,10,3,1.12,62,21,18.69,0.75,8,10.64,Achievement,67,No Reduction,11/2/2012,"DVA HEALTHCARE RENAL CARE, INC.",9/25/2015
"TOTAL RENAL CARE OF NORTH CAROLINA, LLC",342693,-,102 COLLEGE STATION DRIVE,-,BREVARD,NC,28712,6,7,8%,20,16,164,6%,9,153,Achievement,4,64%,15,87,166,57%,84,148,Achievement,6,6,10,100%,22,167,167,98%,149,152,Achievement,10,96%,16,121,128,95%,127,134,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,44,1,355,0%,1,353,Achievement,4,1.126,46,2,1.776,0,0,1.363,Achievement,No Score,5,10,10,0.57,23,3,5.25,1,6,6,Achievement,78,No Reduction,7/3/2013,DAVITA,7/4/2013
"BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA, INC.",342694,-,301 S. RALEIGH STREET,-,ANGIER,NC,27501,6,7,7%,29,17,253,6%,14,224,Achievement,6,67%,27,183,273,65%,168,257,Achievement,7,6,6,96%,31,253,264,94%,226,240,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,6,7,10,0%,34,0,310,3%,8,264,Achievement,7,0.552,46,1,1.811,0,0,1.965,Achievement,No Score,9,10,8,0.73,24,4,4.95,0.22,1,4.51,Achievement,79,No Reduction,3/22/2013,FRESENIUS MEDICAL CARE,3/23/2013
"TOTAL RENAL CARE OF NORTH CAROLINA, LLC",342695,-,10 MCDOWELL STREET,SUITE 110,ASHEVILLE,NC,28801,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,9,94%,58,447,476,93%,520,559,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,8,1%,93,8,712,1%,4,451,Achievement,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,4,8,10,0.57,56,7,12.39,1.13,15,13.24,Achievement,83,No Reduction,11/6/2013,INDEPENDENT DIALYSIS FOUNDATION (IDF),11/7/2013
TOTAL RENAL CARE OF NORTH CAROLINA LLC,342696,-,80 WESTGATE PLACE,-,FRANKLIN,NC,28734,6,1,21%,17,40,155,24%,35,147,Improvement,6,67%,20,114,181,61%,102,168,Achievement,4,6,9,99%,24,159,161,99%,152,154,Achievement,No Score,No Rate,<11,,,97%,114,117,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,9,7,4,3%,32,10,289,1%,4,325,Achievement,7,0.566,47,1,1.765,0,0,1.738,Achievement,No Score,3,10,8,0.76,25,5,5.95,0.81,5,6.15,Achievement,66,No Reduction,10/28/2013,DAVITA,10/28/2013
"CAROLINA DIALYSIS, LLC",342697,-,115 WILSON ROAD,-,SANFORD,NC,27332,6,1,21%,28,67,322,24%,25,106,Improvement,2,56%,33,188,337,58%,110,190,Achievement,1,6,7,97%,38,307,315,94%,148,157,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,6,2%,52,8,444,No Rate,,,Achievement,4,1.173,67,5,4.262,No Rate,,N/A,Achievement,0,9,10,2,1.13,78,23,20.43,0.56,3,5.4,Achievement,45,1.00%,6/20/2014,FRESENIUS MEDICAL CARE,6/25/2014
"TOTAL RENAL CARE OF NORTH CAROLINA, LLC",342698,-,11016 RED SPRINGS ROAD,-,RED SPRINGS,NC,28377,6,9,4%,14,7,128,5%,3,57,Achievement,2,58%,13,51,138,61%,57,93,Achievement,6,6,10,100%,14,131,131,97%,75,77,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,10,0%,21,0,178,No Rate,,,Achievement,6,0.786,39,1,1.272,No Rate,,0.997,Achievement,No Score,5,10,5,0.94,21,6,4.8,0.72,3,4.15,Achievement,73,No Reduction,3/7/2014,DAVITA,3/9/2014
"BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA, INC.",342699,-,1899 TATE BLVD SE,SUITE 2102,HICKORY,NC,28602,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,No Score,No Rate,<11,,,No Rate,,,N/A,5,83%,32,185,223,82%,32,39,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,5,7,0,9%,39,24,276,No Rate,,,Achievement,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,8,10,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,45,1.00%,10/14/2014,FRESENIUS MEDICAL CARE,10/14/2014
"TOTAL RENAL CARE OF NORTH CAROLINA, LLC",342700,-,111 YOPP ROAD,-,JACKSONVILLE,NC,28540,6,5,10%,57,35,348,No Rate,,,Achievement,10,81%,58,435,537,No Rate,0,0,Achievement,8,6,6,96%,56,408,424,No Rate,,,Achievement,9,94%,28,217,230,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,7,7,10,0%,91,2,693,No Rate,,,Achievement,No Score,No Rate,111,N/A,N/A,No Rate,,N/A,N/A,No Score,10,10,9,0.69,63,12,17.47,No Rate,,N/A,Achievement,88,No Reduction,2/6/2015,DAVITA,2/6/2015
"BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA, INC.",342701,-,290 H.M. CAGLE DRIVE,-,CAMERON,NC,28326,6,4,13%,27,19,149,No Rate,,,Achievement,6,69%,27,160,232,No Rate,0,0,Achievement,5,6,3,93%,28,190,204,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,3,7,6,2%,34,4,205,No Rate,,,Achievement,No Score,No Rate,45,N/A,N/A,No Rate,,N/A,N/A,No Score,5,10,7,0.85,27,7,7.25,No Rate,,N/A,Achievement,58,0.50%,2/4/2015,FRESENIUS MEDICAL CARE,2/4/2015
"BIO-MEDICAL APPLICATIONS OF NORTH CAROLINA, INC.",342702,-,1165 CEDAR POINT BOULEVARD,-,SWANSBORO,NC,28584,6,8,5%,18,4,64,No Rate,,,Achievement,8,75%,17,82,113,No Rate,0,0,Achievement,8,6,2,92%,14,63,73,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,2,7,10,0%,23,0,124,No Rate,,,Achievement,No Score,No Rate,36,N/A,N/A,No Rate,,N/A,N/A,No Score,10,10,10,0.64,12,2,3.09,No Rate,,N/A,Achievement,80,No Reduction,5/21/2015,FRESENIUS MEDICAL CARE,5/21/2015
SURF CITY DIALYSIS,342703,-,22807 US HIGHWAY 17 N,-,HAMPSTEAD,NC,28443,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,10,100%,14,40,40,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,10,7,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,17,N/A,N/A,No Rate,,N/A,N/A,No Score,No Score,No Score,No Score,No Rate,<11,,N/A,No Rate,,N/A,N/A,No Score,No Reduction,9/9/2015,DAVITA,9/9/2015
KERR LAKE DIALYSIS,342704,-,1274 RUIN CREEK ROAD,-,HENDERSON,NC,27537,6,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,6,8,98%,37,97,99,No Rate,,,Achievement,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,<11,,,No Rate,,,N/A,8,7,No Score,No Rate,<11,,,No Rate,,,N/A,No Score,No Rate,46,N/A,N/A,No Rate,,N/A,N/A,No Score,No Score,No Score,4,0.99,14,5,2.95,No Rate,,N/A,Achievement,No Score,No Reduction,10/5/2015,DAVITA,10/5/2015
